type,size,runtime
insertionsort,6992,41069
insertionsort,82053,4964323
insertionsort,19233,313592
insertionsort,62803,3289554
insertionsort,17022,235919
insertionsort,72733,4159143
insertionsort,34439,946318
insertionsort,64955,3544410
insertionsort,76076,4739106
insertionsort,47360,1878528
insertionsort,71838,4248343
insertionsort,38379,1240372
insertionsort,48371,1793607
insertionsort,93000,7081297
insertionsort,7287,42372
insertionsort,65686,3368678
insertionsort,31629,729682
insertionsort,94298,6982499
insertionsort,98498,7684386
insertionsort,33967,943772
insertionsort,5784,26348
insertionsort,31378,799177
insertionsort,77335,4896685
insertionsort,5657,25595
insertionsort,95010,7317290
insertionsort,52330,2214245
insertionsort,98952,8083105
insertionsort,69013,3867995
insertionsort,76424,4601134
insertionsort,5488,25082
insertionsort,47219,1814847
insertionsort,34958,996835
insertionsort,22741,397317
insertionsort,69271,3821772
insertionsort,19871,314798
insertionsort,11828,111658
insertionsort,66499,3555940
insertionsort,6127,29519
insertionsort,26321,524059
insertionsort,10468,85660
insertionsort,80318,5143820
insertionsort,24420,455150
insertionsort,71444,4145400
insertionsort,27530,622507
insertionsort,32559,879338
insertionsort,86385,6146348
insertionsort,20185,334090
insertionsort,66134,3658804
insertionsort,56782,2677672
insertionsort,68612,3925692
insertionsort,52852,2330523
insertionsort,91883,7048797
insertionsort,61915,3172499
insertionsort,97541,7760427
insertionsort,29740,719319
insertionsort,54553,2425692
insertionsort,73951,4502571
insertionsort,19124,306512
insertionsort,98688,7938707
insertionsort,9985,75907
insertionsort,86370,5947078
insertionsort,98835,8064199
insertionsort,59073,2908175
insertionsort,75431,4567463
insertionsort,15822,205472
insertionsort,41857,1456617
insertionsort,73460,4482184
insertionsort,10587,93890
insertionsort,88021,6303268
insertionsort,59255,2899798
insertionsort,43107,1556866
insertionsort,25504,521370
insertionsort,34883,967082
insertionsort,62634,3244010
insertionsort,79557,5303619
insertionsort,43213,1534499
insertionsort,56673,2675826
insertionsort,87364,6336517
insertionsort,23485,457654
insertionsort,56388,2656010
insertionsort,56391,2556255
insertionsort,70973,4155285
insertionsort,16649,218952
insertionsort,34578,990245
insertionsort,95095,7497173
insertionsort,60781,3079199
insertionsort,9043,67904
insertionsort,63539,3292984
insertionsort,43171,1526484
insertionsort,28414,660894
insertionsort,24634,494894
insertionsort,66534,3683972
insertionsort,83066,5705071
insertionsort,63299,3301772
insertionsort,56036,2588596
insertionsort,50148,2089305
insertionsort,9880,82164
insertionsort,94405,7376115
insertionsort,97041,7795003
insertionsort,67527,3807773
insertionsort,58605,2818306
insertionsort,89484,6640674
insertionsort,9366,75048
insertionsort,83898,5825877
insertionsort,83960,5805988
insertionsort,34046,965126
insertionsort,97103,7838398
insertionsort,17365,250376
insertionsort,7520,45439
insertionsort,45391,1669362
insertionsort,56888,2696331
insertionsort,95460,7584636
insertionsort,15408,193230
insertionsort,37929,1202030
insertionsort,23391,437939
insertionsort,79852,5184865
insertionsort,84045,5860865
insertionsort,68032,3863853
insertionsort,71023,4134526
insertionsort,34913,980976
insertionsort,26478,587096
insertionsort,48958,1999892
insertionsort,60961,3047368
insertionsort,38372,1150472
insertionsort,36677,1123933
insertionsort,83740,5833353
insertionsort,93088,7133652
insertionsort,12310,126907
insertionsort,75052,4600388
insertionsort,12825,138581
insertionsort,36401,1108163
insertionsort,69283,3985983
insertionsort,89330,6685113
insertionsort,52877,2331282
insertionsort,17346,252955
insertionsort,35236,1041366
insertionsort,52411,2298435
insertionsort,15216,195886
insertionsort,78329,5083948
insertionsort,59013,2881567
insertionsort,30946,800095
insertionsort,97566,7690899
insertionsort,72910,4380430
insertionsort,26203,541030
insertionsort,33283,916667
insertionsort,81761,5496988
insertionsort,9234,61316
insertionsort,73280,4276789
insertionsort,22454,425356
insertionsort,50706,2078532
insertionsort,17132,243270
insertionsort,70074,4050562
insertionsort,56621,2626286
insertionsort,34204,959385
insertionsort,55276,2539350
insertionsort,69848,4009285
insertionsort,9946,80351
insertionsort,37685,1163762
insertionsort,22799,435967
insertionsort,42476,1495065
insertionsort,93004,7168812
insertionsort,12275,119339
insertionsort,20250,343476
insertionsort,96458,7683865
insertionsort,75756,4772898
insertionsort,87968,6388631
insertionsort,95275,7392633
insertionsort,66484,3633426
insertionsort,49679,2010543
insertionsort,22146,397048
insertionsort,35880,1064957
insertionsort,61047,3039534
insertionsort,68588,3908034
insertionsort,78745,5174136
insertionsort,46864,1784384
insertionsort,67123,3706832
insertionsort,87435,6308189
insertionsort,47681,1900483
insertionsort,84834,5919258
insertionsort,26821,551324
insertionsort,13245,137932
insertionsort,31126,783132
insertionsort,51075,2181370
insertionsort,29147,714014
insertionsort,29578,726868
insertionsort,26273,556062
insertionsort,15577,199633
insertionsort,15716,208802
insertionsort,66876,3745635
insertionsort,73241,4470732
insertionsort,92903,7199126
insertionsort,57650,2742245
insertionsort,6792,37521
insertionsort,28491,649103
insertionsort,30678,773408
insertionsort,34319,987693
insertionsort,85127,6065446
insertionsort,45584,1632983
insertionsort,79405,5278945
insertionsort,8909,67520
insertionsort,41412,1418159
insertionsort,50521,2115368
insertionsort,35591,1047257
insertionsort,87712,5892122
insertionsort,5866,17301
insertionsort,21242,360578
insertionsort,24595,473444
insertionsort,33513,879642
insertionsort,44837,1610898
insertionsort,84096,5588724
insertionsort,67189,3576737
insertionsort,66876,3649304
insertionsort,87865,6390503
insertionsort,41222,1187790
insertionsort,61728,3165262
insertionsort,49694,1876362
insertionsort,98711,7734073
insertionsort,97265,7685145
insertionsort,34394,940786
insertionsort,72962,4252852
insertionsort,25144,522549
insertionsort,40862,1313051
insertionsort,18968,293491
insertionsort,86893,6138913
insertionsort,79485,5119261
insertionsort,44856,1655928
insertionsort,9892,77581
insertionsort,19454,304093
insertionsort,28520,657813
insertionsort,67850,3765553
insertionsort,8537,58143
insertionsort,81735,5422647
insertionsort,62430,3193376
insertionsort,68341,3801662
insertionsort,61801,3143121
insertionsort,64793,3436087
insertionsort,11685,113109
insertionsort,74760,4608299
insertionsort,91924,6985133
insertionsort,45169,1652725
insertionsort,24986,509660
insertionsort,80723,5273952
insertionsort,93024,7086058
insertionsort,83928,5815639
insertionsort,72679,4369157
insertionsort,89995,6688812
insertionsort,46488,1795576
insertionsort,20633,358192
insertionsort,6369,32179
insertionsort,63882,3373014
insertionsort,96749,7738963
insertionsort,83954,5734209
insertionsort,54235,2426130
insertionsort,58130,2766756
insertionsort,77436,4878889
insertionsort,37972,1198538
insertionsort,19300,308208
insertionsort,97705,7813500
insertionsort,34669,988009
insertionsort,73284,4439074
insertionsort,74245,4469891
insertionsort,7356,45433
insertionsort,41980,1468042
insertionsort,83574,5802214
insertionsort,59325,2921328
insertionsort,21702,384430
insertionsort,58964,2861926
insertionsort,53275,2351653
insertionsort,49588,2043907
insertionsort,73444,4461990
insertionsort,35317,1030926
insertionsort,70228,3975630
insertionsort,38318,1220045
insertionsort,68500,3905430
insertionsort,70286,4094363
insertionsort,97164,7810663
insertionsort,49057,1974029
insertionsort,41799,1384873
insertionsort,56801,2668069
insertionsort,6708,36252
insertionsort,27288,592249
insertionsort,38078,1159791
insertionsort,48972,2002024
insertionsort,40977,1350177
insertionsort,17819,256624
insertionsort,99434,8177099
insertionsort,34846,1013155
insertionsort,26352,577126
insertionsort,9974,81166
insertionsort,13493,153299
insertionsort,20873,362997
insertionsort,68927,3947873
insertionsort,99461,8225183
insertionsort,59349,2901565
insertionsort,99156,8044479
insertionsort,93490,7209534
insertionsort,21744,372869
insertionsort,33855,921165
insertionsort,68927,3888885
insertionsort,52154,2261969
insertionsort,78498,5111881
insertionsort,45068,1701549
insertionsort,51149,2178620
insertionsort,18383,281515
insertionsort,24114,443555
insertionsort,89151,6630961
insertionsort,19275,311483
insertionsort,29345,705494
insertionsort,64855,3479617
insertionsort,34375,968737
insertionsort,17593,248127
insertionsort,56346,2613717
insertionsort,67063,3709824
insertionsort,9415,72623
insertionsort,43029,1538352
insertionsort,68779,3911751
insertionsort,42090,1472555
